,mmsi,timestamp,lon,lat,knots,cog,heading,rot,ship_type,nav_status,length,width,maxspeed,aisid,is_anomaly,anomaly_name,anomaly_value,no_prototype_found,assessment
10323,266247000,2018-07-03 10:22:30,11.84291,57.684007,5.6,48.0,47.0,,Cargo,Under way using engine,,26.0,,221017,False,,,False,TN
10324,265638160,2018-07-03 10:22:35,11.787532,57.597677,16.8,24.4,,,Cargo,Unknown value,,3.0,,221025,False,,,False,TN
10325,265509950,2018-07-03 10:22:35,11.796138,57.580253,13.1,161.5,161.0,,Passenger,Under way using engine,,8.0,,221027,False,,,False,TN
10326,265627630,2018-07-03 10:22:45,11.822553,57.62612,3.7,272.4,95.0,0.0,Cargo,Unknown value,,10.0,,221040,False,,,False,TN
10327,265625300,2018-07-03 10:22:48,11.805958,57.658843,9.0,166.9,,,Passenger,Unknown value,,6.0,,221046,True,pos,0.0060953326677978,False,FN
10328,265547240,2018-07-03 10:22:49,11.812023,57.623733,16.7,193.2,193.0,14.5,Passenger,Under way using engine,,6.0,,221049,False,,,False,TN
10329,265547210,2018-07-03 10:22:50,11.821557,57.620987,8.8,0.9,180.0,7.5,Passenger,Under way using engine,,8.0,,221050,False,,,False,TN
10330,265547240,2018-07-03 10:22:51,11.811988,57.623658,16.7,193.9,193.0,12.9,Passenger,Under way using engine,,6.0,,221051,False,,,False,TN
10331,265581970,2018-07-03 10:22:51,11.869802,57.683142,0.6,28.0,224.0,,Tanker,Under way using engine,,13.0,,221052,False,,,False,TN
10332,219017582,2018-07-03 10:22:51,11.817895,57.534255,15.3,348.0,346.0,,Cargo,Under way using engine,,4.0,,221053,False,,,False,TN
10333,219017582,2018-07-03 10:22:58,11.817702,57.534662,15.2,346.3,344.0,,Cargo,Under way using engine,,4.0,,221063,False,,,False,TN
10334,265547270,2018-07-03 10:23:00,11.786858,57.648963,5.3,249.0,249.0,-17.9,Passenger,Under way using engine,,8.0,,221066,False,,,False,TN
10335,257983000,2018-07-03 10:23:01,11.689527,57.636043,9.7,211.9,213.0,0.0,Tanker,Under way using engine,,27.0,,221067,False,,,False,TN
10336,249803000,2018-07-03 10:23:06,11.607623,57.585212,12.6,338.1,340.0,0.0,Tanker,Under way using engine,,17.0,,221074,False,,,False,TN
10337,219017582,2018-07-03 10:23:16,11.817213,57.535615,15.2,346.4,348.0,,Cargo,Under way using engine,,4.0,,221086,False,,,False,TN
10338,265625300,2018-07-03 10:23:16,11.80641,57.657588,9.1,169.0,,,Passenger,Unknown value,,6.0,,221088,True,cog,0.0022989266603334,False,FN
10339,219017582,2018-07-03 10:23:21,11.816985,57.536232,15.1,348.4,349.0,0.0,Cargo,Under way using engine,,4.0,,221098,False,,,False,TN
10340,266247000,2018-07-03 10:23:21,11.844428,57.684835,4.6,45.4,43.0,0.0,Cargo,Under way using engine,,26.0,,221100,False,,,False,TN
10341,265547240,2018-07-03 10:23:25,11.810512,57.621223,16.4,203.1,205.0,19.7,Passenger,Under way using engine,,6.0,,221105,False,,,False,TN
10342,265509950,2018-07-03 10:23:25,11.797235,57.577265,13.3,185.5,188.0,,Passenger,Under way using engine,,8.0,,221106,False,,,False,TN
10343,236111757,2018-07-03 10:23:29,11.686067,57.598933,1.2,137.9,295.0,0.0,Tanker,Under way using engine,,8.0,,221113,False,,,False,TN
10344,265547270,2018-07-03 10:23:38,11.785677,57.648633,2.0,237.1,242.0,0.0,Passenger,Under way using engine,,8.0,,221127,False,,,False,TN
10345,265627630,2018-07-03 10:23:47,11.821,57.626243,1.3,240.9,181.0,,Cargo,Unknown value,,10.0,,221139,False,,,False,TN
10346,266225000,2018-07-03 10:23:48,11.683053,57.586778,0.1,198.8,289.0,0.0,Tanker,At anchor,,10.0,,221143,False,,,False,TN
10347,265547210,2018-07-03 10:23:50,11.821788,57.623157,7.5,4.5,184.0,2.9,Passenger,Under way using engine,,8.0,,221146,False,,,False,TN
10348,219017582,2018-07-03 10:23:51,11.816077,57.538357,15.4,346.3,346.0,,Cargo,Under way using engine,,4.0,,221149,True,cog,0.0021270091296666,False,FN
10349,265638160,2018-07-03 10:24:06,11.793278,57.604217,18.4,24.2,,,Cargo,Unknown value,,3.0,,221173,True,sog,0.0046183016800763,False,TP
10350,265581970,2018-07-03 10:24:07,11.870333,57.683248,0.4,128.7,300.0,,Tanker,Under way using engine,,13.0,,221176,False,,,False,TN
10351,265627630,2018-07-03 10:24:08,11.820903,57.625948,3.3,186.4,181.0,0.0,Cargo,Unknown value,,10.0,,221177,False,,,False,TN
10352,219017582,2018-07-03 10:24:10,11.815497,57.539593,15.2,346.7,345.0,0.0,Cargo,Under way using engine,,4.0,,221179,True,cog,0.0075521946856254,False,TP
10353,265547240,2018-07-03 10:24:15,11.807588,57.617848,15.7,202.0,202.0,-12.9,Passenger,Under way using engine,,6.0,,221186,True,cog,0.008619170210401,False,FN
10354,236111757,2018-07-03 10:24:15,11.685167,57.599183,3.2,298.2,295.0,,Tanker,Under way using engine,,8.0,,221187,False,,,False,TN
10355,265509950,2018-07-03 10:24:15,11.79613,57.574247,13.4,192.5,193.0,0.0,Passenger,Under way using engine,,8.0,,221188,False,,,False,TN
10356,265547240,2018-07-03 10:24:23,11.807168,57.617227,16.0,198.8,199.0,-14.5,Passenger,Under way using engine,,6.0,,221204,False,,,False,TN
10357,265581970,2018-07-03 10:24:35,11.870145,57.683277,0.9,291.0,342.0,,Tanker,Under way using engine,,13.0,,221223,False,,,False,TN
10358,265550210,2018-07-03 10:24:35,11.762557,57.618427,0.1,188.9,211.0,0.0,Tanker,Under way using engine,,8.0,,221224,False,,,False,TN
10359,249803000,2018-07-03 10:24:35,11.604077,57.590132,12.6,338.7,340.0,0.0,Tanker,Under way using engine,,17.0,,221225,False,,,False,TN
10360,266247000,2018-07-03 10:24:40,11.846777,57.685568,3.0,76.8,74.0,,Cargo,Under way using engine,,26.0,,221231,False,,,False,TN
10361,257983000,2018-07-03 10:24:40,11.685,57.632232,9.7,212.9,213.0,0.0,Tanker,Under way using engine,,27.0,,221232,False,,,False,TN
10362,265509950,2018-07-03 10:24:43,11.795437,57.57272,11.7,194.7,196.0,0.0,Passenger,Under way using engine,,8.0,,221236,False,,,False,TN
10363,219017582,2018-07-03 10:24:45,11.814488,57.541983,15.4,346.7,343.0,,Cargo,Under way using engine,,4.0,,221243,True,sog,0.0003138693388943,False,TP
10364,265547240,2018-07-03 10:24:53,11.805847,57.615033,16.3,192.4,192.0,-21.6,Passenger,Under way using engine,,6.0,,221253,False,,,False,TN
10365,265547260,2018-07-03 10:24:57,11.842148,57.661538,0.1,200.0,149.0,0.0,Passenger,Under way using engine,,8.0,,221263,False,,,False,TN
10366,257983000,2018-07-03 10:24:59,11.685,57.632232,9.7,212.9,213.0,0.0,Tanker,Under way using engine,,27.0,,221266,False,,,False,TN
10367,265627630,2018-07-03 10:25:00,11.820958,57.625,4.2,173.9,158.0,,Cargo,Unknown value,,10.0,,221268,False,,,False,TN
10368,257983000,2018-07-03 10:25:01,11.684103,57.631517,9.6,213.4,212.0,0.0,Tanker,Under way using engine,,27.0,,221269,False,,,False,TN
10369,265547240,2018-07-03 10:25:03,11.805603,57.614372,16.1,189.8,190.0,-14.5,Passenger,Under way using engine,,6.0,,221272,False,,,False,TN
10370,265581970,2018-07-03 10:25:04,11.870077,57.683527,2.3,353.3,354.0,0.0,Tanker,Under way using engine,,13.0,,221276,False,,,False,TN
10371,265793820,2018-07-03 10:25:08,11.800705,57.625787,0.1,0.0,,,Cargo,Under way using engine,,,,221283,False,,,False,TN
10372,219017582,2018-07-03 10:25:16,11.81354,57.54411,15.2,349.2,348.0,0.0,Cargo,Under way using engine,,4.0,,221292,True,sog,0.0070001398736048,False,TP
10373,265547210,2018-07-03 10:25:17,11.822293,57.625623,3.4,345.1,132.0,-206.4,Passenger,Under way using engine,,8.0,,221296,False,,,False,TN
10374,265509950,2018-07-03 10:25:23,11.794508,57.570922,8.4,197.1,199.0,0.0,Passenger,Under way using engine,,8.0,,221307,False,,,False,TN
10375,265627630,2018-07-03 10:25:23,11.821227,57.624653,3.2,148.1,98.0,,Cargo,Unknown value,,10.0,,221309,True,cog,0.0034419799292222,False,FN
10376,265547250,2018-07-03 10:25:28,11.842997,57.66145,0.1,186.9,254.0,0.0,Passenger,Under way using engine,,8.0,,221317,False,,,False,TN
10377,236111757,2018-07-03 10:25:29,11.6829,57.598917,5.2,206.7,210.0,,Tanker,Under way using engine,,8.0,,221320,False,,,False,TN
10378,265627630,2018-07-03 10:25:35,11.82137,57.624585,2.2,133.6,70.0,,Cargo,Unknown value,,10.0,,221329,True,cog,0.0015050883146605,False,FN
